description,nick_name,start_time,end_time,run_time,run,data_name,pic_name,pic_id,test_param,param_value,rorschach,curvature,target_curvature,null_curvature,target_variability,null_variability,sample_size,obs_plot_location,response_no,correct,conf_level,choice_reason,participant_count,plot_count
emily-log-2,11d0f4e6d5fab9bd5b4a9356cb804540,1605824814,1605825072,257.6481113,6,6a72b42ba970ea6798a886761baf324f,plots/svg/19640c3dc14337740f45aee91eed5803.svg,12,log,target-E-Lv_null-H-Lv_r0,0,t-E_n-H,E,H,Lv,Lv,50,17,17,1,Very Certain,"Different shape, Different slope",13,18
emily-log-2,11d0f4e6d5fab9bd5b4a9356cb804540,1605825072,1605825181,109.3777144,6,e079c7c97296f2c777bede60f7d1c5b7,plots/svg/19458f4a249031b8179c02b343dffe30.svg,7,linear,target-E-Lv_null-M-Lv_r0,0,t-E_n-M,E,M,Lv,Lv,50,14,14,1,Neutral,"Other, Fewer data points at high x-values so the evidence of the relationship for high x-values is weakest",13,24
emily-log-2,11d0f4e6d5fab9bd5b4a9356cb804540,1605825181,1605825198,16.61193275,6,47748c8978f11fc269bed62ca7f6a4d3,plots/svg/f5a285159cccc2e9e1c610c6dab92348.svg,28,log,target-H-Lv_null-E-Lv_r0,0,t-H_n-E,H,E,Lv,Lv,50,9,9,1,Very Certain,"Different shape, Different slope",13,21
emily-log-2,11d0f4e6d5fab9bd5b4a9356cb804540,1605825198,1605825234,36.59132338,6,f28e70dc6b7365974b49d253cdd85363,plots/svg/e2e1ff57be869422245fc51b15415492.svg,30,log,target-H-Lv_null-M-Lv_r0,0,t-H_n-M,H,M,Lv,Lv,50,12,12,1,Very Certain,"Different shape, Different slope",13,20
emily-log-2,11d0f4e6d5fab9bd5b4a9356cb804540,1605825324,1605825505,180.770272,6,47748c8978f11fc269bed62ca7f6a4d3,plots/svg/d4332bd8e199471b74969e986f987ac8.svg,27,linear,target-H-Lv_null-E-Lv_r0,0,t-H_n-E,H,E,Lv,Lv,50,9,9,1,Neutral,Clustering,13,21
emily-log-2,11d0f4e6d5fab9bd5b4a9356cb804540,1605825505,1605825559,54.04463887,6,7ff3391e264e98652cdb6eb8b85088c4,plots/svg/2192c71bf5b17dcdc925ca95c98694e0.svg,16,log,target-M-Lv_null-E-Lv_r0,0,t-M_n-E,M,E,Lv,Lv,50,10,4,0,Neutral,Clustering,13,22
emily-log-2,11d0f4e6d5fab9bd5b4a9356cb804540,1605825559,1605825593,34.17304945,6,6a72b42ba970ea6798a886761baf324f,plots/svg/16ce6f7a2dfb1a760c7ba8bcd54daccc.svg,11,linear,target-E-Lv_null-H-Lv_r0,0,t-E_n-H,E,H,Lv,Lv,50,17,17,1,Certain,"Different shape, Different slope",13,18
emily-log-2,11d0f4e6d5fab9bd5b4a9356cb804540,1605825593,1605825618,25.10571218,6,3d689aa117d70559b73fe8398f1a44c6,plots/svg/d6bc919b68b3711ec58a7d2d12363647.svg,22,log,target-M-Lv_null-H-Lv_r0,0,t-M_n-H,M,H,Lv,Lv,50,1,1,1,Certain,Different shape,13,23
emily-log-2,11d0f4e6d5fab9bd5b4a9356cb804540,1605825618,1605825659,40.44747305,6,f28e70dc6b7365974b49d253cdd85363,plots/svg/abd7b714d3c960b93247a0a3e0308473.svg,29,linear,target-H-Lv_null-M-Lv_r0,0,t-H_n-M,H,M,Lv,Lv,50,12,12,1,Certain,Different shape,13,21
emily-log-2,11d0f4e6d5fab9bd5b4a9356cb804540,1605825659,1605825677,18.13547254,6,e079c7c97296f2c777bede60f7d1c5b7,plots/svg/ef16f06ed4708fcd12a6249492a1e12a.svg,8,log,target-E-Lv_null-M-Lv_r0,0,t-E_n-M,E,M,Lv,Lv,50,14,14,1,Certain,Different shape,13,21
emily-log-2,11d0f4e6d5fab9bd5b4a9356cb804540,1606152433,1606152493,59.55422854,7,e079c7c97296f2c777bede60f7d1c5b7,plots/svg/19458f4a249031b8179c02b343dffe30.svg,7,linear,target-E-Lv_null-M-Lv_r0,0,t-E_n-M,E,M,Lv,Lv,50,14,14,1,Uncertain,Different slope,13,24
emily-log-2,11d0f4e6d5fab9bd5b4a9356cb804540,1606152493,1606152502,9.220518112,7,e079c7c97296f2c777bede60f7d1c5b7,plots/svg/ef16f06ed4708fcd12a6249492a1e12a.svg,8,log,target-E-Lv_null-M-Lv_r0,0,t-E_n-M,E,M,Lv,Lv,50,14,14,1,Certain,Different shape,13,21
