"parm_id","x","participantID","ols.pred","ols.lower","ols.upper","pca.pred","pca.lower","pca.upper"
"V",8.5,"07b99df3c1c4c28454a3b1cce128a1b5",-0.592604076478742,-0.830824805511417,-0.354383347446068,-0.489439376843991,-0.708412686941639,-0.270466066746342
"V",9,"07b99df3c1c4c28454a3b1cce128a1b5",-0.584045386383243,-0.826851641566202,-0.341239131200284,-0.515409574744354,-0.738030590556579,-0.292788558932129
"V",9.5,"07b99df3c1c4c28454a3b1cce128a1b5",-0.563259097421916,-0.810496016523723,-0.31602217832011,-0.529111165875169,-0.755168065241367,-0.303054266508971
"V",10,"07b99df3c1c4c28454a3b1cce128a1b5",-0.533435500233178,-0.785331191243531,-0.281539809222826,-0.533758889297696,-0.763461670710657,-0.304056107884734
"V",10.5,"07b99df3c1c4c28454a3b1cce128a1b5",-0.498213837589941,-0.755257226113346,-0.241170449066536,-0.53302130685326,-0.766871321610296,-0.299171292096224
"V",11,"07b99df3c1c4c28454a3b1cce128a1b5",-0.460808051739048,-0.723191923936358,-0.198424179541738,-0.530141782343499,-0.768318884481548,-0.291964680205449
"V",11.5,"07b99df3c1c4c28454a3b1cce128a1b5",-0.42325119000272,-0.690804444497562,-0.155697935507878,-0.527177167076299,-0.769461366906865,-0.284892967245733
"V",12,"07b99df3c1c4c28454a3b1cce128a1b5",-0.38594592644352,-0.658658280338839,-0.113233572548202,-0.52454181784347,-0.770891402395139,-0.278192233291801
"V",12.5,"07b99df3c1c4c28454a3b1cce128a1b5",-0.347628148104091,-0.625914386415786,-0.0693419097923959,-0.520964908989752,-0.771812131801283,-0.270117686178221
"V",13,"07b99df3c1c4c28454a3b1cce128a1b5",-0.305744728321559,-0.590020382056462,-0.021469074586657,-0.513864025987286,-0.769647714086128,-0.258080337888444
"V",13.5,"07b99df3c1c4c28454a3b1cce128a1b5",-0.257143546311388,-0.547377333663131,0.0330902410403547,-0.500035267833051,-0.760702551640603,-0.239367984025499
"V",14,"07b99df3c1c4c28454a3b1cce128a1b5",-0.198899828747398,-0.494836026792367,0.0970363692975718,-0.476485467921215,-0.74173302050827,-0.21123791533416
"V",14.5,"07b99df3c1c4c28454a3b1cce128a1b5",-0.129075582150627,-0.430888940164052,0.172737775862798,-0.441203265406891,-0.711197095224905,-0.171209435588877
"V",15,"07b99df3c1c4c28454a3b1cce128a1b5",-0.0472329061919149,-0.356199577719284,0.261733765335454,-0.393687726992274,-0.669808117962431,-0.117567336022116
"V",15.5,"07b99df3c1c4c28454a3b1cce128a1b5",0.0454114129093088,-0.274218408340418,0.365041234159036,-0.335118060234553,-0.621238575194617,-0.048997545274488
"V",16,"07b99df3c1c4c28454a3b1cce128a1b5",0.146212352837217,-0.191855998536567,0.484280704211001,-0.268137540351662,-0.572885945525659,0.0366108648223341
